# Rime user dictionary
#@/db_name	wubi86.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	4558
#@/user_id	264d1fbf-0cd3-4191-8dba-a79a7265bcfc
ia 	江	c=1 d=1 t=5747
iagw 	满	c=1 d=1 t=4590
iauj 	满意	c=1 d=1 t=1159
idux 	湖北	c=1 d=1 t=3490
iet 	淫	c=1 d=1 t=5503
if 	法	c=2 d=1 t=5706
ifbp 	法院	c=2 d=1.28508 t=6008
ifc 	法	c=11 d=2.03153 t=4641
iff 	尘	c=1 d=1 t=4989
ifh 	汗	c=1 d=1 t=110
ifpg 	法定	c=3 d=0.254397 t=5952
iftv 	法律	c=1 d=1 t=5986
igd 	添	c=3 d=1.956 t=6165
ige 	清	c=2 d=1.00001 t=5590
igge 	清静	c=1 d=1 t=4976
iglk 	添加	c=1 d=1 t=5806
igss 	清楚	c=1 d=1 t=2988
ih 	小	c=26 d=2.82417 t=4554
ihih 	小小	c=1 d=1 t=1950
ihoy 	小米	c=1 d=1 t=4365
ihxj 	小费	c=1 d=1 t=4627
iii 	水	c=6 d=1.15348 t=4759
iiii 	水	c=1 d=1 t=4741
iijs 	水果	c=2 d=1.96561 t=3710
iiqn 	水饺	c=1 d=1 t=4829
iirw 	消失	c=1 d=1 t=5555
iith 	消息	c=2 d=1 t=3150
ikk 	澡	c=1 d=1 t=785
im 	没	c=138 d=4.2998 t=5770
imea 	油腻	c=1 d=1 t=155
imgk 	洞	c=2 d=1.99501 t=4958
imj 	测	c=1 d=1 t=6635
inm 	涮	c=1 d=1 t=264
ip 	学	c=13 d=1.19555 t=5012
ipet 	常用	c=1 d=1 t=6978
ipfk 	深圳	c=1 d=1 t=2263
ipfw 	常规	c=1 d=1 t=948
ipkh 	常	c=3 d=1.90032 t=5247
ipnu 	学习	c=3 d=1.00865 t=4782
iprp 	掌控	c=1 d=1 t=5507
ipsu 	学校	c=8 d=1.19932 t=4582
iptj 	觉得	c=7 d=1.67568 t=6950
ipw 	深	c=4 d=1.29878 t=5306
ipwu 	学位	c=1 d=1 t=4532
iq 	光	c=3 d=1.01528 t=1922
iqce 	沟通	c=1 d=1 t=1817
iqpg 	淘宝	c=3 d=2.83029 t=467
iqv 	兆	c=3 d=2.16732 t=5391
iqyl 	溜	c=1 d=1 t=7149
irfc 	激动	c=1 d=1 t=4346
iria 	浙江	c=2 d=1.956 t=3500
iriq 	激光	c=1 d=1 t=4586
is 	洒	c=1 d=1 t=197
isgg 	酒	c=1 d=1 t=230
isyh 	酒店	c=1 d=1 t=5323
it 	少	c=12 d=1.35369 t=5354
itf 	洗	c=2 d=1.70117 t=4349
itfc 	活动	c=2 d=1.0001 t=4926
itfq 	洗	c=9 d=1.99501 t=5724
ith 	省	c=3 d=1 t=4259
itik 	洗澡	c=4 d=2.24608 t=5612
itx 	海	c=6 d=1.19655 t=4116
ium 	滴	c=2 d=1.5627 t=2802
iv 	当	c=3 d=1.09163 t=5896
ivjf 	当时	c=2 d=0.124541 t=5897
ivqd 	当然	c=2 d=1.00005 t=6409
iw 	兴	c=4 d=2.62062 t=5429
iwt 	涂	c=1 d=1 t=2809
iy 	注	c=1 d=1 t=2656
iyca 	游戏	c=5 d=1.95124 t=6860
iyj 	济	c=1 d=1 t=5916
iyjt 	浏览	c=1 d=1 t=1077
iyuj 	注意	c=1 d=1 t=4361
iyxj 	浪费	c=1 d=1 t=2297
j 	是	c=264 d=6.97361 t=5919
jaw 	暴	c=1 d=1 t=372
jb 	最	c=15 d=1.21505 t=5628
jbxt 	最终	c=1 d=1 t=5777
jc 	紧	c=2 d=1.00015 t=5917
jcx 	紧	c=1 d=1 t=991
jcxt 	紧张	c=1 d=1 t=4552
je 	明	c=29 d=1.08677 t=5837
jejo 	明显	c=2 d=1 t=6622
jerr 	明白	c=3 d=1.00052 t=6247
jf 	时	c=6 d=1.09379 t=5712
jfd 	里	c=58 d=2.21631 t=5938
jfuj 	时间	c=8 d=1.00001 t=6829
jfwh 	时候	c=35 d=1.34138 t=5542
jg 	量	c=1 d=1 t=2974
